transaction_id,user_id,date,time,amount,merchant_name,category,payment_mode,transaction_type,city,day_of_week,month,weekend_flag,festival_flag,recurring_flag,location_type,fraud_label,notes
TXN-100001,7,2026-02-21,15:25:13,1492.48,Gas Bill,Utilities,Debit Card,Expense,Mumbai,Saturday,2,True,False,True,Home City,0,Synthetic transaction (Working Professional)
TXN-100002,21,2025-11-01,13:16:13,714.86,General Store,Recharge,Debit Card,Expense,Mumbai,Saturday,11,True,True,False,Home City,0,Synthetic transaction (Student)
TXN-100003,35,2026-06-04,01:07:13,2169.33,Water Bill,Utilities,Net Banking,Expense,Mumbai,Thursday,6,False,False,True,Home City,0,Synthetic transaction (Working Professional)
TXN-100004,61,2026-07-28,03:32:13,831.36,Swiggy,Food,Net Banking,Expense,Mumbai,Tuesday,7,False,False,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100005,65,2026-01-18,08:43:13,798.2,MedPlus,Healthcare,Credit Card,Expense,Bengaluru,Sunday,1,True,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100006,81,2026-01-03,13:28:13,1840.38,Ajio,Shopping,Credit Card,Expense,Delhi,Saturday,1,True,False,False,Home City,0,Synthetic transaction (Student)
TXN-100007,71,2025-09-04,04:46:13,2272.1,Coursera,Education,Debit Card,Expense,Mumbai,Thursday,9,False,False,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100008,60,2025-11-10,08:34:13,25842.31,Amazon,Shopping,Debit Card,Expense,Mumbai,Monday,11,False,True,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100009,15,2026-05-24,05:50:13,658.35,Starbucks,Food,Net Banking,Expense,Bengaluru,Sunday,5,True,False,False,Home City,0,Synthetic transaction (Student)
TXN-100010,75,2026-07-17,09:35:13,2904.24,KFC,Food,Net Banking,Expense,Delhi,Friday,7,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100011,91,2026-06-01,12:52:13,1729.14,Flipkart,Shopping,Debit Card,Expense,Bengaluru,Monday,6,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100012,1,2025-12-18,21:05:13,921.72,PVR,Entertainment,Debit Card,Expense,Delhi,Thursday,12,False,True,False,Home City,0,Synthetic transaction (Student)
TXN-100013,20,2026-04-10,07:32:13,1559.28,BookMyShow,Entertainment,UPI,Expense,Mumbai,Friday,4,False,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100014,42,2025-12-14,18:11:13,2341.72,Coursera,Education,Net Banking,Expense,Delhi,Sunday,12,True,True,True,Home City,0,Synthetic transaction (Freelancer)
TXN-100015,66,2026-02-19,05:40:13,305.12,Rapido,Travel,UPI,Expense,Bengaluru,Thursday,2,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100016,45,2026-01-25,03:49:13,467.47,Swiggy,Food,Debit Card,Expense,Mumbai,Sunday,1,True,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100017,56,2025-11-29,11:25:13,23658.58,Amazon,Shopping,Net Banking,Expense,Bengaluru,Saturday,11,True,True,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100018,1,2026-02-03,07:47:13,1668.76,Myntra,Shopping,UPI,Expense,Bengaluru,Tuesday,2,False,False,False,Home City,0,Synthetic transaction (Student)
TXN-100019,82,2026-05-05,15:14:13,1689.63,Broadband,Utilities,Debit Card,Expense,Bengaluru,Tuesday,5,False,False,True,Home City,0,Synthetic transaction (Working Professional)
TXN-100020,85,2025-09-05,01:03:13,1858.07,Myntra,Shopping,UPI,Expense,Bengaluru,Friday,9,False,False,False,Home City,0,Synthetic transaction (Working Professional)
TXN-100021,38,2026-01-04,08:00:13,2207.7,Flipkart,Shopping,Net Banking,Expense,Bengaluru,Sunday,1,True,False,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100022,79,2025-08-16,11:23:13,1483.5,Zomato,Food,UPI,Expense,Bengaluru,Saturday,8,True,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100023,48,2025-08-14,09:33:13,291.8,Pizza Hut,Food,UPI,Expense,Delhi,Thursday,8,False,False,False,Home City,0,Synthetic transaction (High Saver)
TXN-100024,13,2025-11-15,12:45:13,2876.7,Rapido,Travel,Credit Card,Expense,Mumbai,Saturday,11,True,True,False,Home City,0,Synthetic transaction (Frequent Traveller)
TXN-100025,86,2026-04-03,09:36:13,2138.75,Swiggy,Food,Credit Card,Expense,Delhi,Friday,4,False,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100026,14,2025-11-23,23:46:13,1080.33,KFC,Food,Credit Card,Expense,Bengaluru,Sunday,11,True,True,False,Home City,0,Synthetic transaction (Food Lover)
TXN-100027,33,2025-08-09,13:13:13,18799.58,Myntra,Shopping,Net Banking,Expense,Bengaluru,Saturday,8,True,False,False,Home City,0,Synthetic transaction (Luxury Spender)
TXN-100028,43,2025-10-19,22:17:13,477.68,Ola,Travel,Net Banking,Expense,Mumbai,Sunday,10,True,True,False,Home City,0,Synthetic transaction (Freelancer)
TXN-100029,79,2026-04-12,14:45:13,419.18,KFC,Food,Debit Card,Expense,Bengaluru,Sunday,4,True,False,False,Home City,0,Synthetic transaction (Student)
TXN-100030,77,2026-02-04,07:40:13,4685.05,Amazon,Shopping,Credit Card,Expense,Delhi,Wednesday,2,False,False,False,Home City,0,Synthetic transaction (Family User)
TXN-100031,11,2026-06-30,12:05:13,4676.14,Amazon,Shopping,Credit Card,Expense,Bengaluru,Tuesday,6,False,False,False,Home City,0,Synthetic transaction (Family User)
